leg,runner,altup,altdown,altnet,dist,runno,distnomean,altupnomean
1,1,54.8,-56.3,-1.5,3.8,1,0.097142857142857,3.88571428571429
2,2,22.1000000000001,-24.0000000000001,-1.90000000000001,2.66,1,-1.04285714285714,-28.8142857142857
3,3,70.6,-16.7,53.9,4.94,1,1.23714285714286,19.6857142857143
4,4,20.5,-59.3,-38.8,2.24,1,-1.46285714285714,-30.4142857142857
5,5,103.6,-26.2,77.4,4.79,1,1.08714285714286,52.6857142857142
6,6,24.1,-62.4,-38.3,4.59,1,0.887142857142857,-26.8142857142857
7,7,69.8,-23.7,46.1,4.06,1,0.357142857142857,18.8857142857143
8,1,122.4,-113.5,8.90000000000001,3.27,2,-0.432857142857143,71.4857142857143
9,2,20.5000000000001,-11.3000000000001,9.19999999999999,2.67,2,-1.03285714285714,-30.4142857142857
10,3,17.5000000000001,-139.5,-122,4.74,2,1.03714285714286,-33.4142857142857
11,4,117.5,-30.4,87.1,3.53,2,-0.172857142857143,66.5857142857143
12,5,66.6,-49.2,17.4,6.15,2,2.44714285714286,15.6857142857143
13,6,121.2,-68.6999999999999,52.5,4.87,2,1.16714285714286,70.2857142857142
14,7,34.5,-59.5,-25,3.07,2,-0.632857142857143,-16.4142857142857
15,1,10.9,-83.3,-72.4,3.74,3,0.0371428571428574,-40.0142857142857
16,2,54,-101.6,-47.6,4.05,3,0.347142857142857,3.0857142857143
17,3,45.9,-31.9,14,2.65,3,-1.05285714285714,-5.01428571428575
18,4,15.1000000000001,-40.0000000000001,-24.9,3.32,3,-0.382857142857143,-35.8142857142856
19,5,36.9,-3.80000000000001,33.1,2.58,3,-1.12285714285714,-14.0142857142857
20,6,21.4,-27.3,-5.90000000000001,2.47,3,-1.23285714285714,-29.5142857142857
21,7,19.3,-47.1,-27.8,3.57,3,-0.132857142857143,-31.6142857142857
